kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
250200280,IGOŁOMIA,20.256389,50.093611,4.79,2025-01-28 17:50:00,88,2025-01-28 17:50:00,2.4,2025-01-28 17:50:00,4.2,2025-01-28 17:50:00,74.07,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250200290,BORZĘCIN,20.71,50.065833,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210070,BARANÓWEK,21.257778,50.77,7.2,2025-01-28 17:50:00,166,2025-01-28 17:50:00,3.5,2025-01-28 17:50:00,6.8,2025-01-28 17:50:00,76.5,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250210080,SADKÓW,21.077222,50.736667,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210090,JASTRZĘBSKA WOLA,21.186944,50.724722,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210170,WILCZA WOLA,21.931944,50.341389,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210230,RADOMYŚL WIELKI,21.269722,50.199722,,,,,,,,,,,,,0,2025-01-28 17:50:00
250210240,ZAWADA,21.493333,50.063889,10.54,2025-01-28 17:50:00,166,2025-01-28 17:50:00,5.8,2025-01-28 17:50:00,11.7,2025-01-28 17:50:00,58.16,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210170,BARTNE,21.345556,49.558611,7.3,2025-01-28 17:50:00,141,2025-01-28 17:50:00,4.3,2025-01-28 17:50:00,8.8,2025-01-28 17:50:00,74.6,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210220,WYSZOWADKA,21.420833,49.453889,,,,,,,,,,,,,0,2025-01-28 17:50:00
249210230,WYSOWA,21.1725,49.438056,6.9,2025-01-28 17:50:00,154,2025-01-28 17:50:00,3.6,2025-01-28 17:50:00,5.9,2025-01-28 17:50:00,76.7,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210240,BARWINEK,21.684722,49.431111,9,2025-01-28 17:50:00,235,2025-01-28 17:50:00,4.6,2025-01-28 17:50:00,9.2,2025-01-28 17:50:00,62.9,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210250,JAŚLISKA,21.81,49.44,,,,,,,,,,,,,0,2025-01-28 17:50:00
249210260,TYLICZ,21.008889,49.392222,5.93,2025-01-28 17:50:00,79,2025-01-28 17:50:00,1.1,2025-01-28 17:50:00,3.1,2025-01-28 17:50:00,71.93,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250200220,SIELEC,20.420556,50.318611,2.4,2025-01-28 17:50:00,120,2025-01-28 17:50:00,1.1,2025-01-28 17:50:00,2.2,2025-01-28 17:50:00,89,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250210180,CHORZELÓW,21.444167,50.348056,10.2,2025-01-28 17:50:00,164,2025-01-28 17:50:00,4.4,2025-01-28 17:50:00,9.9,2025-01-28 17:50:00,64,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249190460,SPYTKOWICE GÓRNE,19.761667,49.564444,,,,,,,,,,,,,0,2025-01-28 17:50:00
249200440,JAWORZYNA KRYNICKA,20.895278,49.417778,2.56,2025-01-28 17:50:00,35,2025-01-28 17:50:00,5.3,2025-01-28 17:50:00,11.3,2025-01-28 17:50:00,93.74,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250200050,RYKOSZYN,20.411667,50.865556,,,,,,,,,,,,,0,2025-01-28 17:50:00
253170350,CZYCZKOWY,17.733333,53.860833,,,,,,,,,,,,,0,2025-01-28 17:50:00
249190210,ŁODYGOWICE,19.160278,49.724167,,,,,,,,,,,,,0,2025-01-28 17:50:00
249190670,POLANA CHOCHOŁOWSKA,19.788611,49.236944,3.47,2025-01-28 17:50:00,239,2025-01-28 17:50:00,3.8,2025-01-28 17:50:00,7.8,2025-01-28 17:50:00,72.09,2025-01-28 17:50:00,,,0,2024-11-29 13:20:00
249200250,JASIONÓW,20.025833,49.589722,,,,,,,,,,,,,0,2025-01-28 17:50:00
249190870,ŚLEMIEŃ,19.374444,49.715833,,,,,,,,,,,,,0,2025-01-28 17:50:00
250190520,TYCHY,19.001111,50.131944,,,,,,,,,,,,,0,2025-01-28 17:50:00
249200920,PIWNICZNA,20.723056,49.425,9.44,2025-01-28 17:50:00,135,2025-01-28 17:50:00,4.1,2025-01-28 17:50:00,13.4,2025-01-28 17:50:00,66.79,2025-01-28 17:50:00,,,0,2025-01-12 09:20:00
249190890,RADZIECHOWY ,19.155556,49.648611,9.3,2025-01-28 17:50:00,170,2025-01-28 17:50:00,1.1,2025-01-28 17:50:00,3.5,2025-01-28 17:50:00,63,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
